42.75840835,99.80375793
41.60461517,69.22548392
129.4484642,49.20733437
167.6921706,33.9928212
0,19.64802826
0,2.126738995
41.94816033,0.465082362
30.20280508,-0.028358681
84.32089062,-0.039540103
105.4586409,0.94782813
74.71459014,4.921122356
39.37481263,6.085448756
140.0789182,18.13075782
116.4067121,21.77201241
118.6883705,23.58972281
189.4651553,18.78171108
227.6570058,4.889522683
310.1985918,0.079080206
371.3755581,0.066440337
375.906465,4.528314117
331.0900267,7.347491067
479.4885715,3.184598806
662.9352045,5.295456939
851.3405553,0.959009553
1397.259741,0.019770052